Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,HV
0,0.3181,0.3551,0.3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
0.0963,0.3073,0.3045,0.2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
0.1742,0.2749,0.2781,0.2728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
0.2287,0.2585,0.2613,0.2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385
0.2842,0.2392,0.2438,0.2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453
0,0.305230523,0.308930893,0.302730273,0.083108311,0,0,0,0,0,0,0,0,0,0,0,0,0,149
0,0.2816,0.2773,0.2728,0.1683,0,0,0,0,0,0,0,0,0,0,0,0,0,287
0,0.2572,0.2631,0.2606,0.2191,0,0,0,0,0,0,0,0,0,0,0,0,0,570
0,0.222,0.222,0.222,0,0,0.222,0.112,0,0,0,0,0,0,0,0,0,0,218.5
0.1,0.2,0.2,0.2,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,414.4
0.182,0.182,0.182,0.182,0,0,0.182,0.09,0,0,0,0,0,0,0,0,0,0,717.5
0.25,0.167,0.167,0.167,0,0,0.167,0.082,0,0,0,0,0,0,0,0,0,0,650
0.308,0.154,0.154,0.154,0,0,0.154,0.076,0,0,0,0,0,0,0,0,0,0,602
0,0.266272189,0.190335306,0.267258383,0,0,0.184418146,0,0.091715976,0,0,0,0,0,0,0,0,0,509
0.038,0.261,0.171,0.263,0,0,0.176,0,0.091,0,0,0,0,0,0,0,0,0,487
0,0.245,0.163,0.246,0,0,0.171,0,0.175,0,0,0,0,0,0,0,0,0,654
0.039,0.239,0.156,0.236,0,0,0.156,0,0.174,0,0,0,0,0,0,0,0,0,717
0.175,0.075,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,624
0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,286
0,0,0.2,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,263
0.2,0,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,342
0,0,0.2,0.2,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,296
0,0,0.2,0.2,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,566
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,395
0.272,0.182,0.182,0.182,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,402
0.332,0.167,0.167,0.167,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,432
0.384,0.154,0.154,0.154,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,487
0.428,0.143,0.143,0.143,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,506
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,520
0.196080392,0.196080392,0.196080392,0.196080392,0,0,0.196080392,0,0,0,0,0,0.01959804,0,0,0,0,0,569
0.190480952,0.190480952,0.190480952,0.190480952,0,0,0.190480952,0,0,0,0,0,0.04759524,0,0,0,0,0,668
0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.181818182,0,0,0,0,0,0.090909091,0,0,0,0,0,747
0.196,0.196,0.118,0.196,0,0,0.196,0.098,0,0,0,0,0,0,0,0,0,0,750
0.198019802,0.198019802,0.198019802,0.198019802,0,0,0.198019802,0.00990099,0,0,0,0,0,0,0,0,0,0,730
0.166833167,0.166833167,0.24975025,0.166833167,0,0,0.166833167,0.082917083,0,0,0,0,0,0,0,0,0,0,634
0.153846154,0.153846154,0.307692308,0.153846154,0,0,0.153846154,0.076923077,0,0,0,0,0,0,0,0,0,0,634
0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,137
0.056594341,0.188681132,0.188681132,0.188681132,0,0,0.188681132,0,0,0.188681132,0,0,0,0,0,0,0,0,178
0.090909091,0.181818182,0.181818182,0.181818182,0,0,0.181818182,0,0,0.181818182,0,0,0,0,0,0,0,0,207
0.137913791,0.172417242,0.172417242,0.172417242,0,0,0.172417242,0,0,0.172417242,0,0,0,0,0,0,0,0,270
0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,406
0.206341268,0.158731746,0.158731746,0.158731746,0,0,0.158731746,0,0,0.158731746,0,0,0,0,0,0,0,0,475
0.230846169,0.153830766,0.153830766,0.153830766,0,0,0.153830766,0,0,0.153830766,0,0,0,0,0,0,0,0,510
0.264647071,0.147070586,0.147070586,0.147070586,0,0,0.147070586,0,0,0.147070586,0,0,0,0,0,0,0,0,560
0.285642871,0.142871426,0.142871426,0.142871426,0,0,0.142871426,0,0,0.142871426,0,0,0,0,0,0,0,0,568
0.315068493,0.136986301,0.136986301,0.136986301,0,0,0.136986301,0,0,0.136986301,0,0,0,0,0,0,0,0,604
0.333366673,0.133326665,0.133326665,0.133326665,0,0,0.133326665,0,0,0.133326665,0,0,0,0,0,0,0,0,625
0.359,0.1282,0.1282,0.1282,0,0,0.1282,0,0,0.1282,0,0,0,0,0,0,0,0,660
0.375,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,643
0,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,590
0.166666667,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,800
0,0,0.166666667,0.166666667,0,0,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,740
0,0.142857143,0.142857143,0.142857143,0,0,0,0,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,630
0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0,0,0,0,0,0,790
0,0.142857143,0.142857143,0.142857143,0,0,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0,0,0,0,790
0,0.125,0.125,0.125,0,0,0.125,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0,680
0.125,0.125,0.125,0.125,0,0,0.125,0,0.125,0,0.125,0.125,0,0,0,0,0,0,780
0,0.125,0.125,0.125,0,0,0.125,0.125,0.125,0,0.125,0.125,0,0,0,0,0,0,850
0.25,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,472.4
0.2381,0,0.2381,0.2381,0,0,0.2381,0.0476,0,0,0,0,0,0,0,0,0,0,548.5
0.222222222,0,0.222222222,0.222222222,0,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,621.5
0.208320832,0,0.208320832,0.208320832,0,0,0.208320832,0.166716672,0,0,0,0,0,0,0,0,0,0,853.8
0.2,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,914
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,172
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,160
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,153
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,161
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,158
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,146
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,163
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,162
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,166
0.090909091,0.181818182,0.181818182,0.181818182,0,0,0.181818182,0,0,0.181818182,0,0,0,0,0,0,0,0,225
0.087717544,0.175435087,0.175435087,0.175435087,0,0,0.175435087,0,0.035107021,0.175435087,0,0,0,0,0,0,0,0,272
0.0847,0.1695,0.1695,0.1695,0,0,0.1695,0,0.0678,0.1695,0,0,0,0,0,0,0,0,321
0.082008201,0.163916392,0.163916392,0.163916392,0,0,0.163916392,0,0.098409841,0.163916392,0,0,0,0,0,0,0,0,458
0.079407941,0.158715872,0.158715872,0.158715872,0,0,0.158715872,0,0.127012701,0.158715872,0,0,0,0,0,0,0,0,588
0.076923077,0.153846154,0.153846154,0.153846154,0,0,0.153846154,0,0.153846154,0.153846154,0,0,0,0,0,0,0,0,635
0.074585083,0.149270146,0.149270146,0.149270146,0,0,0.149270146,0,0.179064187,0.149270146,0,0,0,0,0,0,0,0,650
0.072507251,0.144914491,0.144914491,0.144914491,0,0,0.144914491,0,0.202920292,0.144914491,0,0,0,0,0,0,0,0,654
0.070414083,0.140828166,0.140828166,0.140828166,0,0,0.140828166,0,0.225445089,0.140828166,0,0,0,0,0,0,0,0,661
0.068493151,0.136986301,0.136986301,0.136986301,0,0,0.136986301,0,0.246575342,0.136986301,0,0,0,0,0,0,0,0,669
0.066706671,0.133313331,0.133313331,0.133313331,0,0,0.133313331,0,0.266726673,0.133313331,0,0,0,0,0,0,0,0,697
0.090909091,0.181818182,0.181818182,0.181818182,0,0,0.181818182,0,0,0.181818182,0,0,0,0,0,0,0,0,223
0.087717544,0.175435087,0.175435087,0.175435087,0,0,0.175435087,0,0,0.175435087,0,0.035107021,0,0,0,0,0,0,205
0.0847,0.1695,0.1695,0.1695,0,0,0.1695,0,0,0.1695,0,0.0678,0,0,0,0,0,0,233
0.082008201,0.163916392,0.163916392,0.163916392,0,0,0.163916392,0,0,0.163916392,0,0.098409841,0,0,0,0,0,0,331
0.079407941,0.158715872,0.158715872,0.158715872,0,0,0.158715872,0,0,0.158715872,0,0.127012701,0,0,0,0,0,0,443
0.076923077,0.153846154,0.153846154,0.153846154,0,0,0.153846154,0,0,0.153846154,0,0.153846154,0,0,0,0,0,0,638
0.074585083,0.149270146,0.149270146,0.149270146,0,0,0.149270146,0,0,0.149270146,0,0.179064187,0,0,0,0,0,0,576
