del r,delta x,VEC,delta H,delta S,omega,upper lamda,e1/a,Hardness
0.049517498,0.121763226,7.735,-4.504864,14.70354789,5283.66576,5996.595516,1.82,473
0.050757185,0.116570817,8.008,-5.034848,14.70354789,4618.000434,5707.252374,1.911,367
0.050006189,0.124051784,7.826,-5.564832,14.70354789,4266.914201,5879.963503,1.82,418
0.049517498,0.119375423,7.644,-3.908632,14.70354789,6103.238979,5996.595516,1.82,423
0.032018515,0.103069221,8.058,-6.400612,12.59405061,3567.981959,12284.65813,1.844,168
0.045839195,0.114755174,8.25,-10.625,11.52565132,1844.87304,5485.187971,2,225
0.012449912,0.100124922,8.75,4.75,11.52565132,4293.044272,74358.89205,1.5,143
0.012765102,0.098493106,8.78,4.352544,12.6070832,5134.724476,77368.82709,1.528,146
0.012740926,0.096409284,8.775,3.9375,13.07582603,5875.041693,80550.29466,1.55,150
0.012953846,0.09455471,8.805,3.575844,13.3203131,6603.140104,79381.07508,1.578,158
0.012688798,0.085862227,8.842,2.342008,12.98423751,9816.397582,80644.63115,1.668,175
0.009720197,0.03082207,9.5,5,11.52565132,3840.963642,121987.4936,1.75,154
0.010960253,0.056724267,9.344,4.53152,12.6070832,4716.435098,104947.8366,1.716,153
0.011636531,0.072187256,9.15,4.05,13.07582603,5545.573241,96565.52004,1.675,158
0.012454185,0.083643575,8.994,3.62952,13.3203131,6410.229693,85878.37918,1.641,161
0.013665917,0.10673988,8.344,2.23112,12.98423751,10702.29286,69524.66609,1.502,172
0.014085658,0.103047319,9,2.75,11.52565132,7370.20347,58091.31658,1.5,183
0.013924432,0.100624298,8.968,2.920736,12.6070832,7616.983716,65021.90141,1.528,182
0.013488201,0.09778516,8.9,3.0375,13.07582603,7592.656494,71872.22254,1.55,172
0.01330842,0.095225341,8.868,3.146436,13.3203131,7492.831316,75207.55345,1.578,171
0.011899049,0.084316046,8.676,3.229112,12.98423751,7148.33154,91704.77176,1.668,157
0.012740926,0.093791991,8.65,4.6125,13.07582603,5029.347523,80550.29466,1.55,170
0.012953846,0.093292675,8.742,3.8979,13.3203131,6066.116205,79381.07508,1.578,167
0.012688798,0.088670906,9.008,1.67668,12.98423751,13660.63467,80644.63115,1.668,158
0.013171695,0.097005511,8.141,-3.633336,11.47010569,5945.444945,66112.57901,1.735,140
0.012295185,0.093680307,8.6,-3.84,11.07573654,5316.122795,73265.99721,1.8,125
0.047987012,0.118135576,8.008,-11.369644,12.26773008,1832.62526,5327.418354,2.002,242
0.049152794,0.11954959,7.854,-11.715704,12.63646147,1829.330277,5230.329704,2.002,265
0.050386011,0.120638015,7.672,-12.02734,12.98423751,1827.875037,5114.421302,2.002,335
0.013303508,0.096781927,8.009,-3.450336,11.2760106,6173.560377,63712.28122,1.715,170
0.030788296,0.099872199,7.441,-4.947736,10.32886711,3908.554371,10896.35816,1.735,475
0.040206455,0.104383907,7.2,-6.96,10.92321615,2858.001437,6757.078524,1.8,620
0.051630158,0.121129713,7.462,-12.25588,13.25883768,1828.144449,4973.917176,2.002,503
0.053646205,0.119694037,7.038,-12.309696,13.3203131,1823.057131,4628.458996,2.004,555
0.054289483,0.117909923,6.85,-12.105,13.07582603,1813.263034,4436.471783,2,548
0.05480166,0.115844047,6.688,-11.898096,12.6070832,1779.28488,4197.852588,2.004,615
0.055251179,0.112805142,6.5,-11.5,11.52565132,1676.849471,3775.568718,2,720
0.05480166,0.122422637,6.876,-13.150928,12.6070832,1602.62516,4197.852588,2.004,550
0.054289483,0.122024332,6.975,-12.8925,13.07582603,1697.472193,4436.471783,2,539
0.050386011,0.116539447,7.506,-11.251124,12.98423751,1961.58564,5114.421302,2.002,532
0.057558189,0.119172012,7.44,-13.50888,12.6070832,1487.874187,3805.40051,2.192,438
0.056071972,0.119978904,7.35,-13.1175,13.07582603,1617.019646,4158.890354,2.125,476
0.05451258,0.120670006,7.29,-12.79278,13.3203131,1724.583835,4482.506873,2.067,510
0.048388199,0.118611689,7.008,-11.029348,12.98423751,2081.54292,5545.459477,1.836,617
0.056699803,0.131624466,7,-15.5,11.52565132,1228.740392,3585.109103,2,712
0.055850813,0.12925417,7.064,-14.761712,12.6070832,1420.844169,4041.621329,2.004,665
0.05496541,0.126383345,7.1,-13.905,13.07582603,1568.815367,4328.029322,2,587
0.053973574,0.123743287,7.164,-13.168512,13.3203131,1698.891941,4572.482766,2.004,558
0.049640065,0.111871275,7.34,-10.253132,12.98423751,2161.556562,5269.285984,2.002,510
0.046822691,0.107986922,6.959,-8.714136,11.2760106,2290.127316,5143.310392,1.865,655
0.051592664,0.110862863,6.741,-10.254936,11.47010569,1928.675355,4309.149059,1.935,695
0.060880285,0.114437756,5.8,-13.76,11.07573654,1227.658464,2988.266056,2.2,775
0.03228285,0.103900526,8.487,0.142884,14.44695461,174406.7069,13862.21324,1.683,185
0.045551658,0.115759621,7.982,-3.614752,14.858228,6782.931574,7160.752105,1.79,273
0.052197211,0.122964408,7.614,-6.231528,14.85995892,3812.232897,5454.098883,1.89,475
0.056288019,0.12727438,7.263,-8.08794,14.64227529,2801.740578,4621.43284,1.971,558
0.054092499,0.12500831,7.469,-7.067368,14.79069778,3301.986538,5054.923397,1.925,510
0.058708935,0.129792773,6.973,-9.37354,14.34587321,2304.600923,4162.158215,2.041,603
0.059499245,0.130386829,6.851,-9.745708,14.19820148,2166.710784,4010.609877,2.063,625
0.060235126,0.131120574,6.709,-10.269184,13.99608206,1999.792479,3857.508008,2.101,655
0.060586471,0.131475996,6.625,-10.5625,13.86327851,1910.586186,3776.718718,2.125,735
0.023942051,0.100789873,8.124,-5.024448,12.19036757,4486.801608,21266.40518,1.78,118
0.039685508,0.11018431,7.764,-8.214676,13.00729202,2825.714656,8258.914987,1.862,127
0.047762827,0.116456931,7.476,-10.592916,13.31282667,2179.085494,5835.66325,1.938,338
0.049832804,0.117965871,7.365,-11.210368,13.34655461,2039.715068,5374.505618,1.957,382
0.051473415,0.119377345,7.284,-11.805888,13.37407653,1924.869911,5047.749949,1.98,527
0.055422189,0.122537583,7.029,-13.211136,13.35139097,1670.744163,4346.695002,2.037,479
0.059959958,0.125974558,6.606,-14.9984,13.08728486,1376.223586,3640.213947,2.134,482
0.047988768,0.097376852,8.437,-4.989556,12.26773008,3914.809448,5327.028361,2.002,166
0.053227745,0.111462998,8.2,-5.28,13.3808668,3851.327714,4722.893147,2,536
0.055410112,0.118849705,8.048,-4.944688,12.57356108,3744.417764,4095.248316,2,531
0.054650309,0.115906467,8.103,-5.125536,13.14037807,3821.534743,4399.695439,1.998,545
0.051827497,0.107472919,8.281,-5.29984,13.25883768,3862.2466,4936.111748,2.002,366
0.050501921,0.103832526,8.341,-5.23378,12.98423751,3876.193941,5090.971336,2.002,249
0.033486405,0.106021217,7.932,-6.75202,12.70597385,3414.701973,11331.0698,1.822,110
0.038753846,0.109748357,7.815,-8.030572,12.97987971,2901.063368,8642.533049,1.861,131
0.048770865,0.117359629,7.437,-10.939084,13.34157981,2106.668621,5609.01174,1.951,388
0.051045538,0.118952306,7.302,-11.62186,13.36423356,1957.153175,5128.950232,1.972,538
0.055986633,0.122928024,6.984,-13.38056,13.33400196,1639.029895,4253.944429,2.044,487
0.027691835,0.103853981,8.764,0.131056,11.99130907,158092.4028,15637.34943,1.652,162
0.032261888,0.107524466,8.666,-0.8349,12.26882114,25212.05888,11787.5429,1.681,170
0.035792496,0.110358812,8.547,-1.69756,12.44649957,12450.24057,9715.457571,1.702,200
0.038736887,0.113164446,8.463,-2.517424,12.60587935,8450.190644,8400.859368,1.729,238
0.041238544,0.115548157,8.366,-3.2491,12.72617742,6558.006778,7483.268403,1.751,278
0.043572695,0.117669126,8.254,-3.981924,12.80605626,5330.549845,6745.071666,1.771,290
0.045484377,0.119604651,8.164,-4.625184,12.87636188,4579.823623,6223.987053,1.792,315
0.047227993,0.121409541,8.074,-5.243676,12.9309125,4026.13385,5797.358861,1.813,339
0.048625858,0.123062311,8.006,-5.782876,12.98423751,3647.829398,5491.384972,1.835,392
0.051223815,0.125751964,7.837,-6.814492,13.01382761,3056.493359,4959.766244,1.872,521
0.054092499,0.128968339,7.623,-8.06344,13.01574748,2536.921067,4448.309838,1.925,546
0.054834095,0.12977328,7.556,-8.392816,13.00467189,2421.230262,4325.118782,1.94,550
0.056288019,0.131255208,7.41,-9.074016,12.94800455,2199.985295,4086.682721,1.971,544
0.057373577,0.132512153,7.293,-9.651928,12.88982084,2038.10839,3915.822815,2.002,567
0.05830052,0.133475745,7.173,-10.147,12.81263634,1906.159975,3769.585853,2.03,576
0.059441789,0.134421783,6.994,-10.733676,12.66797014,1751.06045,3585.281781,2.065,593
0.05034092,0.124161186,7.6,-4,13.3808668,5359.398438,5280.097516,1.8,479
0.050942186,0.123244519,7.376,-2.669968,13.23097764,7868.933722,5098.433766,1.779,494
