del r,delta x,VEC,delta H,delta S,omega,upper lamda,gama parameter,D.x,e1/a,Ec,eta,D.r,A,F,W,G,del G,D.G,meu,Hardness
0.049517498,0.121763226,7.735,-4.504864,14.70354789,5283.66576,5996.595516,1.157972988,0.1308398,1.82,384.202,-0.054067578,6.028568,5.993590415,183.6023478,10631.85901,62.5625,0.321242994,21.1198624,3.947336868,473
0.050757185,0.116570817,8.008,-5.034848,14.70354789,4618.000434,5707.252374,1.15816638,0.11957764,1.911,386.841,-0.054992262,6.028568,6.207142068,185.3721036,11227.12132,63.0812,0.323349328,21.1198624,4.182417456,367
0.050006189,0.124051784,7.826,-5.564832,14.70354789,4266.914201,5879.963503,1.158021283,0.1308398,1.82,385.203,-0.05325027,6.094816,6.062209422,183.5095835,10970.51239,62.2804,0.318959779,20.7886224,3.970366364,418
0.049517498,0.119375423,7.644,-3.908632,14.70354789,6103.238979,5996.595516,1.157972988,0.12818988,1.82,383.838,-0.053776123,6.028568,5.995263716,183.5269399,10410.96632,62.4533,0.320457317,21.0403648,3.911288129,423
0.032018515,0.103069221,8.058,-6.400612,12.59405061,3567.981959,12284.65813,1.159405432,0.10780296,1.844,411.323,-0.016719532,3.073836,4.527293704,216.0781193,12470.41166,74.682,0.154057813,7.9566468,3.05299738,168
0.045839195,0.114755174,8.25,-10.625,11.52565132,1844.87304,5485.187971,1.159032946,0.113125,2,408.875,-0.032790322,4.65625,6.247205091,207.6727273,13526.52711,71.3875,0.233269272,12.696875,4.326074016,225
0.012449912,0.100124922,8.75,4.75,11.52565132,4293.044272,74358.89205,1.159506347,0.1025,1.5,393,-0.017589056,1.75,1.647717564,201.6727273,11485.81079,69.325,0.193446809,13.4625,1.09559226,143
0.012765102,0.098493106,8.78,4.352544,12.6070832,5134.724476,77368.82709,1.159422783,0.10051216,1.528,395.336,-0.018832044,1.776432,1.706307657,203.5321194,11786.46039,69.8624,0.188950999,13.1650176,1.134511241,146
0.012740926,0.096409284,8.775,3.9375,13.07582603,5875.041693,80550.29466,1.159615028,0.097425,1.55,396.1,-0.016226964,1.7775,1.708469117,204.2155078,11808.71415,70.1225,0.184612793,12.727125,1.139038802,150
0.012953846,0.09455471,8.805,3.575844,13.3203131,6603.140104,79381.07508,1.159531328,0.09485316,1.578,398.436,-0.017522017,1.781532,1.754219427,206.0806416,12116.37564,70.6599,0.179773972,12.3604326,1.169421398,158
0.012688798,0.085862227,8.842,2.342008,12.98423751,9816.397582,80644.63115,1.159799649,0.081329,1.668,403.716,-0.014097097,1.670668,1.756259222,210.4602083,12665.10999,72.05,0.16082952,10.5117816,1.176886047,175
0.009720197,0.03082207,9.5,5,11.52565132,3840.963642,121987.4936,1.160051536,0.0325,1.75,400.25,-0.018004358,1.25,1.320190824,206.5693431,13299.5137,70.75,0.196065636,12.75,0.927063826,154
0.010960253,0.056724267,9.344,4.53152,12.6070832,4716.435098,104947.8366,1.159831833,0.05039888,1.716,400.788,-0.019182052,1.41848,1.493745696,207.2215243,13158.49787,70.934,0.1908343,12.654936,1.034888973,153
0.011636531,0.072187256,9.15,4.05,13.07582603,5545.573241,96565.52004,1.15988751,0.065925,1.675,399.725,-0.016485431,1.5525,1.580609379,206.6666667,12708.29756,70.835,0.185815869,12.4065,1.083215565,158
